Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Kyabram,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,24 Unitt Street KYABRAM VIC 3620,KYABRAM,3620,Financial Crisis and Material Aid - Emergency Relief,Kyabram,Campaspe,Shepparton,Campaspe (S),Murray,-36.311515,145.0482761,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Shepparton,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,43 Wyndham Street SHEPPARTON VIC 3630,SHEPPARTON,3630,Financial Crisis and Material Aid - Emergency Relief,Shepparton - North,Shepparton,Shepparton,Greater Shepparton (C),Murray,-36.3707108,145.4016987,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Broadford,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,25-27 Powlett Street BROADFORD VIC 3658,BROADFORD,3658,Financial Crisis and Material Aid - Emergency Relief,Kilmore - Broadford,Upper Goulburn Valley,Hume,Mitchell (S),McEwen,-37.203477,145.0471439,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Seymour,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,8-10 Victoria Street SEYMOUR VIC 3666,SEYMOUR,3666,Financial Crisis and Material Aid - Emergency Relief,Seymour,Upper Goulburn Valley,Hume,Mitchell (S),McEwen,-37.0263406,145.1417685,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Benalla,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,5-9 Bridge Street BENALLA VIC 3672,BENALLA,3672,Financial Crisis and Material Aid - Emergency Relief,Benalla,Wangaratta - Benalla,Hume,Benalla (RC),Indi,-36.5517537,145.9824961,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Wangaratta,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,39 Ovens St Wangaratta VIC 3677,Wangaratta,3677,Financial Crisis and Material Aid - Emergency Relief,Wangaratta,Wangaratta - Benalla,Hume,Wangaratta (RC),Indi,-36.3560745,146.3211345,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Wodonga,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,210 Lawrence Street WODONGA VIC 3690,WODONGA,3690,Financial Crisis and Material Aid - Emergency Relief,Wodonga,Wodonga - Alpine,Hume,Wodonga (RC),Indi,-36.12344,146.8814539,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Alexandra,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,"Berry St, Grant Street ALEXANDRA VIC 3714 ",ALEXANDRA,3714,Financial Crisis and Material Aid - Emergency Relief,Alexandra,Upper Goulburn Valley,Hume,Murrindindi (S),Indi,-37.1981088,145.7367248,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Yea,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,15 The Semi Circle Community House YEA VIC 3717,YEA,3717,Financial Crisis and Material Aid - Emergency Relief,Yea,Upper Goulburn Valley,Hume,Murrindindi (S),Indi,-37.2126294,145.42359,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Beechworth,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,35 Ford Street BEECHWORTH VIC 3747,BEECHWORTH,3747,Financial Crisis and Material Aid - Emergency Relief,Beechworth,Wodonga - Alpine,Hume,Indigo (S),Indi,-36.3604884,146.6853442,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Warragul,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,120 Bourke St WARRAGUL VIC 3820,WARRAGUL,3820,Financial Crisis and Material Aid - Emergency Relief,Warragul,Baw Baw,Latrobe - Gippsland,Baw Baw (S),McMillan,-38.1587968,145.918727,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Morwell,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,2/4 Hoyle Street MORWELL VIC 3840,MORWELL,3840,Financial Crisis and Material Aid - Emergency Relief,Morwell,Latrobe Valley,Latrobe - Gippsland,Latrobe (C),Gippsland,-38.2369122,146.4015336,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Sale,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,139 Cunninghame Street SALE VIC 3850,SALE,3850,Financial Crisis and Material Aid - Emergency Relief,Sale,Wellington,Latrobe - Gippsland,Wellington (S),Gippsland,-38.1069878,147.0702839,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Leongatha,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,2 Long Street LEONGATHA VIC 3953,LEONGATHA,3953,Financial Crisis and Material Aid - Emergency Relief,Leongatha,Gippsland - South West,Latrobe - Gippsland,South Gippsland (S),McMillan,-38.4790961,145.9490812,N,,
The Salvation Army (Victoria) Property Trust,The Salvation Army - Wonthaggi,<a href='http://www.salvos.org.au/contact-us/find-the-salvos-near-you'>http://www.salvos.org.au/contact-us/find-the-salvos-near-you</a>,149 McKenzie Street WONTHAGGI VIC 3995,WONTHAGGI,3995,Financial Crisis and Material Aid - Emergency Relief,Wonthaggi - Inverloch,Gippsland - South West,Latrobe - Gippsland,Bass Coast (S),McMillan,-38.5949037,145.5916381,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Perth - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,333 William Street NORTHBRIDGE WA 6003,NORTHBRIDGE,6003,Financial Crisis and Material Aid - Emergency Relief,Perth City,Perth City,Perth - Inner,Vincent (T),Perth,-31.94564,115.86108,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Inner City Perth - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,9 Aberdeen Street NORTHBRIDGE VIC 6003,NORTHBRIDGE,6003,Financial Crisis and Material Aid - Emergency Relief,Perth City,Perth City,Perth - Inner,Perth (C),Perth,-31.9457013,115.8571419,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Heathridge - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,36 Christmas Ave HEATHRIDGE WA 6027,HEATHRIDGE,6027,Financial Crisis and Material Aid - Emergency Relief,Heathridge - Connolly,Joondalup,Perth - North West,Joondalup (C),Moore,-31.7556921,115.7530335,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Merriwa - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,29 Jenolan Way MERRIWA WA 6030,MERRIWA,6030,Financial Crisis and Material Aid - Emergency Relief,Butler - Merriwa - Ridgewood,Wanneroo,Perth - North West,Wanneroo (C),Pearce,-31.66746,115.71737,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Swan View - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,371 Morrison Rd SWAN VIEW WA 6056,SWAN VIEW,6056,Financial Crisis and Material Aid - Emergency Relief,Swan View - Greenmount - Midvale,Mundaring,Perth - North East,Mundaring (S),Pearce,-31.8855033,116.0490067,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Balga - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,10-18 Lavant Way BALGA WA 6061,BALGA,6061,Financial Crisis and Material Aid - Emergency Relief,Balga - Mirrabooka,Stirling,Perth - North West,Stirling (C),Stirling,-31.8594044,115.8347861,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Morley - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,565 Walter Rd MORLEY WA 6062,MORLEY,6062,Financial Crisis and Material Aid - Emergency Relief,Morley,Bayswater - Bassendean,Perth - North East,Bayswater (C),Perth,-31.8942059,115.9312712,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Bentley - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,32-48 Dumond St BENTLEY WA 6102,BENTLEY,6102,Financial Crisis and Material Aid - Emergency Relief,Bentley - Wilson - St James,Canning,Perth - South East,Canning (C),Swan,-32.0088805,115.9077421,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Rivervale - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,96 Norwood Rd RIVERVALE WA 6103,RIVERVALE,6103,Financial Crisis and Material Aid - Emergency Relief,Rivervale - Kewdale - Cloverdale,Belmont - Victoria Park,Perth - South East,Belmont (C),Swan,-31.96249,115.91262,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Gosnells - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,42 Goodall Street GOSNELLS WA 6110,GOSNELLS,6110,Financial Crisis and Material Aid - Emergency Relief,Gosnells,Gosnells,Perth - South East,Gosnells (C),Hasluck,-32.0837102,115.9940795,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Armadale - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,57 Braemore St ARMADALE WA 6112,ARMADALE,6112,Financial Crisis and Material Aid - Emergency Relief,Seville Grove,Armadale,Perth - South East,Armadale (C),Canning,-32.1395916,115.9972765,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Hamilton Hill  - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,30 Erpingham Rd HAMILTON HILL WA 6163,HAMILTON HILL,6163,Financial Crisis and Material Aid - Emergency Relief,Hamilton Hill,Cockburn,Perth - South West,Cockburn (C),Fremantle,-32.09104,115.79133,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Kwinana - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,57 Medina Ave MEDINA WA 6167,MEDINA,6167,Financial Crisis and Material Aid - Emergency Relief,Calista,Kwinana,Perth - South West,Kwinana (T),Brand,-32.2320238,115.8057858,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Rockingham - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,Willmott Dr COOLOONGUP WA 6168,COOLOONGUP,6168,Financial Crisis and Material Aid - Emergency Relief,Cooloongup,Rockingham,Perth - South West,Rockingham (C),Brand,-32.2993794,115.7538967,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Bunbury - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,70 Timperley Rd SOUTH BUNBURY WA 6230,SOUTH BUNBURY,6230,Financial Crisis and Material Aid - Emergency Relief,Bunbury,Bunbury,Bunbury,Bunbury (C),Forrest,-33.35321,115.64062,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Busselton - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,94 Kent St BUSSELTON WA 6280,BUSSELTON,6280,Financial Crisis and Material Aid - Emergency Relief,Busselton,Augusta - Margaret River - Busselton,Bunbury,Busselton (S),Forrest,-33.64942,115.34861,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - York - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,Avon Terrace YORK WA 6302,YORK,6302,Financial Crisis and Material Aid - Emergency Relief,York - Beverley,Wheat Belt - North,Western Australia - Wheat Belt,York (S),Pearce,-31.8856824,116.7683918,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Narrogin - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,13 Doney St NARROGIN WA 6312,NARROGIN,6312,Financial Crisis and Material Aid - Emergency Relief,Narrogin,Wheat Belt - South,Western Australia - Wheat Belt,Narrogin (T),O'Connor,-32.9332,117.18223,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Albany - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,160 North Rd YAKAMIA WA 6330,YAKAMIA,6330,Financial Crisis and Material Aid - Emergency Relief,Albany,Albany,Western Australia - Wheat Belt,Albany (C),O'Connor,-35.007065,117.87987,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Northam - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,3 Elizabeth Street NORTHAM WA 6401,NORTHAM,6401,Financial Crisis and Material Aid - Emergency Relief,Northam,Wheat Belt - North,Western Australia - Wheat Belt,Northam (S),Pearce,-31.6525302,116.6654836,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Kalgoorlie - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,1 Oberthur St SOUTH KALGOORLIE WA 6430,SOUTH KALGOORLIE,6430,Financial Crisis and Material Aid - Emergency Relief,Kalgoorlie,Goldfields,Western Australia - Outback,Kalgoorlie/Boulder (C),O'Connor,-30.75796,121.48335,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Geraldton - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,42 Ainsworth St GERALDTON WA 6530,GERALDTON,6530,Financial Crisis and Material Aid - Emergency Relief,Geraldton,Mid West,Western Australia - Outback,Geraldton-Greenough (C),Durack,-28.77079,114.62151,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Karratha - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,Confidential KARRATHA WA 6714,KARRATHA,6714,Financial Crisis and Material Aid - Emergency Relief,Karratha,Pilbara,Western Australia - Outback,Roebourne (S),Durack,-20.73535,116.8458044,N,,
The Salvation Army (WA) Property Trust,The Salvation Army - Byanda - ER,<a href='http://salvationarmy.org.au/wa'>http://salvationarmy.org.au/wa</a>,Confidential BYANDA WA 6849,BYANDA,6849,Financial Crisis and Material Aid - Emergency Relief,Perth City,Perth City,Perth - Inner,Perth (C),Perth,-31.953081,115.857384,N,,
The Spiers Centre Inc.,TSC - Heathridge,<a href='http://www.thespierscentre.com.au'>http://www.thespierscentre.com.au</a>,2 Albatross Court Heathridge WA 6027,Heathridge,6027,Financial Crisis and Material Aid - Emergency Relief,Heathridge - Connolly,Joondalup,Perth - North West,Joondalup (C),Moore,-31.76562,115.75479,N,,
The Spiers Centre Inc.,TSC Outreach - The Patricia Giles Centre,<a href='http://www.thespierscentre.com.au'>http://www.thespierscentre.com.au</a>,Burlos Court JOONDALUP WA 6027,JOONDALUP,6027,Financial Crisis and Material Aid - Emergency Relief,Joondalup - Edgewater,Joondalup,Perth - North West,Joondalup (C),Moore,-31.7284695,115.7637955,N,,
The Spiers Centre Inc.,TSC Outreach - Joondalup Health Campus - MHU,<a href='http://www.thespierscentre.com.au'>http://www.thespierscentre.com.au</a>,Cnr Grand Blvd & Shenton Ave JOONDALUP WA 6027,JOONDALUP,6027,Financial Crisis and Material Aid - Emergency Relief,Joondalup - Edgewater,Joondalup,Perth - North West,Joondalup (C),Moore,-31.7398464,115.7685536,N,,
The Spiers Centre Inc.,TSC Outreach - Merriwa Primary School,<a href='http://www.thespierscentre.com.au'>http://www.thespierscentre.com.au</a>,Merriwa Primary School 67 Baltimore Parade Merriwa WA 6030,Merriwa,6030,Financial Crisis and Material Aid - Emergency Relief,Butler - Merriwa - Ridgewood,Wanneroo,Perth - North West,Wanneroo (C),Pearce,-31.6686985,115.7127243,N,,
The Spiers Centre Inc.,TSC Outreach - Butler Community Centre,<a href='http://www.thespierscentre.com.au'>http://www.thespierscentre.com.au</a>,55 Kingsbridge Blvd Butler WA 6036,Butler,6036,Financial Crisis and Material Aid - Emergency Relief,Butler - Merriwa - Ridgewood,Wanneroo,Perth - North West,Wanneroo (C),Pearce,-31.6474328,115.7024133,N,,
The Spiers Centre Inc.,TSC Outreach - The Stirling Womens Refuge,<a href='http://www.thespierscentre.com.au'>http://www.thespierscentre.com.au</a>,74 Sylvia St NOLLAMARA WA 6061,NOLLAMARA,6061,Financial Crisis and Material Aid - Emergency Relief,Nollamara - Westminster,Stirling,Perth - North West,Stirling (C),Stirling,-31.88005,115.84153,N,,
The Station Ltd,The Station Ltd,<a href='http://www.thestationltd.org'>http://www.thestationltd.org</a>,"82 Erskine st, Sydney NSW 2000 ",Sydney,2000,Financial Crisis and Material Aid - Emergency Relief,Sydney - Haymarket - The Rocks,Sydney Inner City,Sydney - City and Inner South,Sydney (C),Sydney,-33.8665788,151.2048699,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - SL (Surry Hills),<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,339 Crown St SURRY HILLS NSW 2010,SURRY HILLS,2010,Financial Crisis and Material Aid - Emergency Relief,Surry Hills,Sydney Inner City,Sydney - City and Inner South,Sydney (C),Sydney,-33.8830579,151.214159,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Maroubra,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,100 Boyce Rd MAROUBRA NSW 2035,MAROUBRA,2035,Financial Crisis and Material Aid - Emergency Relief,Maroubra,Eastern Suburbs - South,Sydney - Eastern Suburbs,Randwick (C),Kingsford Smith,-33.9394081,151.2372246,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Chatswood,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,Crn Johnson & Archer St CHATSWOOD NSW 2067,CHATSWOOD,2067,Financial Crisis and Material Aid - Emergency Relief,Chatswood (East) - Artarmon,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Willoughby (C),North Sydney,-33.7994693,151.1870819,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Manly,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,59 Pittwater Road MANLY NSW 2095,MANLY,2095,Financial Crisis and Material Aid - Emergency Relief,Manly - Fairlight,Manly,Sydney - Northern Beaches,Manly (A),Warringah,-33.7936398,151.2851739,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Dee Why,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,1 Fisher Road DEE WHY NSW 2099,DEE WHY,2099,Financial Crisis and Material Aid - Emergency Relief,Dee Why - North Curl Curl,Warringah,Sydney - Northern Beaches,Warringah (A),Mackellar,-33.7531662,151.2852119,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Macquarie Park,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,47 Ivanhoe Place MACQUARIE PARK NSW 2113,MACQUARIE PARK,2113,Financial Crisis and Material Aid - Emergency Relief,Macquarie Park - Marsfield,Ryde - Hunters Hill,Sydney - Ryde,Ryde (C),Bennelong,-33.7831575,151.1171904,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Burwood,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,31 Wilga St BURWOOD NSW 2134,BURWOOD,2134,Financial Crisis and Material Aid - Emergency Relief,Burwood - Croydon,Strathfield - Burwood - Ashfield,Sydney - Inner West,Burwood (A),Reid,-33.8736449,151.1056254,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Auburn,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,166 - 170 South Parade Auburn NSW 2144,Auburn,2144,Financial Crisis and Material Aid - Emergency Relief,Auburn,Auburn,Sydney - Parramatta,Auburn (C),Reid,-33.8491715,151.0314734,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Blacktown,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,2 Lismore St BLACKTOWN NSW 2148,BLACKTOWN,2148,Financial Crisis and Material Aid - Emergency Relief,Blacktown (East) - Kings Park,Blacktown,Sydney - Blacktown,Blacktown (C),Greenway,-33.7754053,150.9140581,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Parramatta,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,Ground floor 30-32 Smith St PARRAMATTA NSW 2150,PARRAMATTA,2150,Financial Crisis and Material Aid - Emergency Relief,Parramatta - Rosehill,Parramatta,Sydney - Parramatta,Parramatta (C),Parramatta,-33.8134591,151.0070201,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Rouse Hill,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,Cnr Arnold Janssen Drive & Parkway BEAUMONT HILLS NSW 2155,BEAUMONT HILLS,2155,Financial Crisis and Material Aid - Emergency Relief,Rouse Hill - Beaumont Hills,Rouse Hill - McGraths Hill,Sydney - Baulkham Hills and Hawkesbury,The Hills Shire (A),Mitchell,-33.6977641,150.9401957,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Dural,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,277 New Line Rd DURAL NSW 2158,DURAL,2158,Financial Crisis and Material Aid - Emergency Relief,Dural - Kenthurst - Wisemans Ferry,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,Hornsby (A),Berowra,-33.6965727,151.0286266,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Fairfield,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,473 Hamilton Road FAIRFIELD WEST NSW 2165,FAIRFIELD WEST,2165,Financial Crisis and Material Aid - Emergency Relief,Fairfield - West,Fairfield,Sydney - South West,Fairfield (C),McMahon,-33.8679909,150.9145735,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Liverpool,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,51 Memorial Ave LIVERPOOL NSW 2170,LIVERPOOL,2170,Financial Crisis and Material Aid - Emergency Relief,Liverpool - Warwick Farm,Liverpool,Sydney - South West,Liverpool (C),Hughes,-33.9243557,150.9211136,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Campsie,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,23 Anglo Road CAMPSIE NSW 2194,CAMPSIE,2194,Financial Crisis and Material Aid - Emergency Relief,Canterbury (South) - Campsie,Canterbury,Sydney - Inner South West,Canterbury (C),Watson,-33.9110454,151.1020122,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Bankstown,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,42 Raymond Street BANKSTOWN NSW 2200,BANKSTOWN,2200,Financial Crisis and Material Aid - Emergency Relief,Bankstown,Bankstown,Sydney - Inner South West,Bankstown (C),Blaxland,-33.9199914,151.0357671,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Panania,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,136 Tower Street PANANIA NSW 2213,PANANIA,2213,Financial Crisis and Material Aid - Emergency Relief,Panania - Milperra - Picnic Point,Bankstown,Sydney - Inner South West,Bankstown (C),Hughes,-33.9563906,151.0025055,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Rockdale,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,3-4/432 West Botany St ROCKDALE NSW 2216,ROCKDALE,2216,Financial Crisis and Material Aid - Emergency Relief,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,Rockdale (C),Barton,-33.9594298,151.1466898,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Hurstville,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,Crn Bond & Dora Street HURSTVILLE NSW 2220,HURSTVILLE,2220,Financial Crisis and Material Aid - Emergency Relief,Hurstville,Hurstville,Sydney - Inner South West,Hurstville (C),Banks,-33.9638826,151.1004525,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Miranda,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,6 Willock Ave MIRANDA NSW 2228,MIRANDA,2228,Financial Crisis and Material Aid - Emergency Relief,Miranda - Yowie Bay,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Sutherland Shire (A),Cook,-34.0325182,151.1027314,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Gosford,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,120-140 The Entrance Road ERINA NSW 2250,ERINA,2250,Financial Crisis and Material Aid - Emergency Relief,Erina - Green Point,Gosford,Central Coast,Gosford (C),Robertson,-33.4387991,151.3774301,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Umina,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,9 Sydney Ave UMINA BEACH NSW 2257,UMINA BEACH,2257,Financial Crisis and Material Aid - Emergency Relief,Umina - Booker Bay - Patonga,Gosford,Central Coast,Gosford (C),Robertson,-33.5213202,151.3154753,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Long Jetty,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,1-7 McLachlan Ave LONG JETTY NSW 2261,LONG JETTY,2261,Financial Crisis and Material Aid - Emergency Relief,The Entrance,Wyong,Central Coast,Wyong (A),Dobell,-33.3641328,151.4801715,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Tuggerah Lakes,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,90 Minnamurra Road GOROKAN NSW 2263,GOROKAN,2263,Financial Crisis and Material Aid - Emergency Relief,Gorokan - Kanwal - Charmhaven,Wyong,Central Coast,Wyong (A),Dobell,-33.2544697,151.4948805,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Bonnells Bay,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,Crn Station St & Marconi Rd BONNELLS BAY NSW 2264,BONNELLS BAY,2264,Financial Crisis and Material Aid - Emergency Relief,Bonnells Bay - Silverwater,Lake Macquarie - West,Newcastle and Lake Macquarie,Lake Macquarie (C),Charlton,-33.1096033,151.5242492,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Eastlakes,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,360 Pacific Hwy BELMONT NORTH NSW 2280,BELMONT NORTH,2280,Financial Crisis and Material Aid - Emergency Relief,Belmont - Bennetts Green,Lake Macquarie - East,Newcastle and Lake Macquarie,Lake Macquarie (C),Shortland,-33.0218115,151.6651508,N,,
The Trustee for The Salvation Army (NSW) Property Trust,SalvosConnect - ER Collection - Bolton Point,<a href='http://salvos.org.au/'>http://salvos.org.au/</a>,156 Bay Road BOLTON POINT NSW 2283,BOLTON POINT,2283,Financial Crisis and Material Aid - Emergency Relief,Bolton Point - Teralba,Lake Macquarie - West,Newcastle and Lake Macquarie,Lake Macquarie (C),Charlton,-33.0000438,151.6108913,N,,
