OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Service Centre - Centrelink/Medicare,Colac,,108 Bromfield Street,Colac,VIC,3250,-38.34112,143.58917,,,,,
Service Centre - Centrelink,Coober Pedy,,Lot 715 Hutchinson Street,Coober Pedy,SA,5723,-29.00401,134.75524,,,,,
Service Centre - Centrelink/Medicare,Cooma,,65 Massie Street,Cooma,NSW,2630,-36.23366,149.12518,,,,,
Service Centre - Centrelink/Medicare,Corio,,Corio Village Shopping Centre Purnell Road,Corio,VIC,3214,-38.07526,144.35551,,,,,
Service Centre - Centrelink,Corrimal,,Corner Collins and Underwood Street,Corrimal,NSW,2518,-34.37025,150.89625,,,,,
Service Centre - Centrelink/Medicare,Cowra,,93-95 Brisbane Street,Cowra,NSW,2794,-33.83584,148.69135,,,,,
Service Centre - Centrelink/Medicare,Cranbourne,,7-9 Codrington Street,Cranbourne,VIC,3977,-38.11246,145.28454,,,,,
Service Centre - Centrelink/Medicare,Dalby,,34-36 Patrick Street,Dalby,QLD,4405,-27.18026,151.26456,,,,,
Service Centre - Centrelink/Medicare,Dandenong,,27-29 Robinson Street,Dandenong,VIC,3175,-37.9877,145.21052,,,,,
Service Centre - Centrelink,Dapto,,41-43 Baan Baan Street,Dapto,NSW,2530,-34.49382,150.79638,,,,,
Service Centre - Centrelink/Medicare,Darlinghurst,,137-153 Crown Street,Darlinghurst,NSW,2010,-33.87637,151.21556,,,,,
Service Centre - Centrelink/Medicare,Darwin,,"Ground Floor, 24 Knuckey Street",Darwin,NT,800,-12.46155,130.84338,,,,,
Service Centre - Centrelink/Medicare,Deception Bay,,"Deception Bay Shopping Centre, Corner Maine Terrace and Bay Avenue",Deception Bay,QLD,4508,-27.19272,153.03027,,,,,
Service Centre - Centrelink,Deniliquin,,324-332 Cressy Street,Deniliquin,NSW,2710,-35.52871,144.96219,,,,,
Service Centre - Centrelink,Derby,,44 Clarendon Street,Derby,WA,6728,-17.305014,123.628836,,,,,
Service Centre - Centrelink/Medicare,Devonport,,167 William Street,Devonport,TAS,7310,-41.17479,146.35092,,,,,
Service Centre - Centrelink/Medicare,Dubbo,,64 Wingewarra Street,Dubbo,NSW,2830,-32.24898,148.60454,,,,,
Service Centre - Centrelink/Medicare,Cairns Earlville,,480 Mulgrave Road,Earlville,QLD,4870,-16.94152,145.74051,,,,,
Service Centre - Centrelink/Medicare,Echuca,,69 Heygarth Street,Echuca,VIC,3564,-36.12498,144.7462,,,,,
Service Centre - Centrelink/Medicare,Elizabeth,,10 Langford Drive,Elizabeth,SA,5112,-34.72049,138.66431,,,,,
Service Centre - Centrelink/Medicare,Emerald,,21 Egerton Street,Emerald,QLD,4720,-23.52423,148.15922,,,,,
Service Centre - Centrelink,Epping,,"Shop 10, 560 High Street ",Epping,VIC,3076,-37.65364,145.022917,,,,,
Service Centre - Centrelink,Esperance,,58 The Esplanade,Esperance,WA,6450,-33.86351,121.89219,,,,,
Service Centre - Centrelink,Ettalong,,241 Ocean View Road,Ettalong,NSW,2257,-33.51379,151.33746,,,,,
Service Centre - Centrelink/Medicare,Fairfield,,29-33 Barbara Street,Fairfield,NSW,2165,-33.87276,150.95339,,,,,
Remote Service Centre,Fitzroy Crossing,,"Unit 6, Tarunda Shopping Centre, 21 Forrest Road",Fitzroy Crossing,WA,6765,-18.19438,125.56748,,,,,
Service Centre - Centrelink/Medicare,Newmarket,,482-490 Racecourse Road,Flemington,VIC,3031,-37.78771,144.92522,,,,,
Service Centre - Centrelink/Medicare,Footscray,,75 Moore Street,Footscray,VIC,3011,-37.79967,144.90346,,,,,
Service Centre - Centrelink,Fortitude Valley,,435 St Pauls Terrace,Fortitude Valley,QLD,4006,-27.4546,153.03336,,,,,
Service Centre - Centrelink/Medicare,Frankston,,20 Davey Street,Frankston,VIC,3199,-38.141138,145.124648,,,,,
Service Centre - Centrelink/Medicare,Fremantle,,11 Queen Victoria St,Fremantle,WA,6160,-32.05143,115.74977,,,,,
Remote Service Centre,Galiwinku,,"Lot 266, Cnr Riyalanura Rd & Nalkanna St",Galiwinku,NT,822,-12.02329,135.566084,,,,,
Service Centre - Centrelink/Medicare,Gawler,,23 High Street,Gawler,SA,5118,-34.60007,138.75007,,,,,
Service Centre - Centrelink/Medicare,Geelong,,12-14 Little Ryrie Street,Geelong,VIC,3220,-38.1492,144.35522,,,,,
Service Centre - Centrelink/Medicare,Geraldton,,Corner Forrest Street and Chapman Road,Geraldton,WA,6530,-28.77082,114.61273,,,,,
Service Centre - Centrelink/Medicare,Gladstone,,164-170 Goondoon Street,Gladstone,QLD,4680,-23.84622,151.25814,,,,,
Service Centre - Centrelink,Glen Innes,,300 Grey Street,Glen Innes,NSW,2370,-29.73776,151.73556,,,,,
Service Centre - Centrelink/Medicare,Glen Waverley,,7 Bogong Avenue,Glen Waverley,VIC,3150,-37.88138,145.16124,,,,,
Service Centre - Centrelink,Glenelg,,156-158 Jetty Road,Glenelg,SA,5045,-34.98022,138.51879,,,,,
Service Centre - Centrelink/Medicare,Glenorchy,,455 Main Rd,Glenorchy,TAS,7010,-42.830467,147.270098,,,,,
Service Centre - Centrelink/Medicare,Goodna,,1 William Street,Goodna,QLD,4300,-27.60726,152.8957,,,,,
Service Centre - Centrelink,Goondiwindi,,31 Marshall Street,Goondiwindi,QLD,4390,-28.54637,150.30333,,,,,
Service Centre - Centrelink/Medicare,Gosford,,9 Watt Street,Gosford,NSW,2250,-33.42396,151.34402,,,,,
Service Centre - Centrelink,Gosnells,,94 Lissiman Street,Gosnells,WA,6110,-32.06971,115.99874,,,,,
Service Centre - Centrelink/Medicare,Goulburn,,136 Auburn Street,Goulburn,NSW,2580,-34.755935,149.718212,,,,,
Service Centre - Centrelink/Medicare,Grafton,,4-8 King Street,Grafton,NSW,2460,-29.68991,152.93267,,,,,
Service Centre - Centrelink/Medicare,Greensborough,,16-20 Grimshaw Street,Greensborough,VIC,3088,-37.70488,145.10676,,,,,
